,ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,AGE_GROUP
0,63581743,0,16MAR39,60.0,0,11.0,67.349,No,0.0,z_No,M,PhD,Professional,14,Private,14.23,11,Minivan,yes,4.461,2,No,3,0.0,18.0,0,Highly Urban/ Urban,3.0
1,132761049,0,21JAN56,43.0,0,11.0,91.449,No,257.252,z_No,M,z_High School,z_Blue Collar,22,Commercial,14.94,1,Minivan,yes,0.0,0,No,0,0.0,1.0,0,Highly Urban/ Urban,1.0
2,921317019,0,18NOV51,48.0,0,11.0,52.881,No,0.0,z_No,M,Bachelors,Manager,26,Private,21.97,1,Van,yes,0.0,0,No,2,0.0,10.0,0,Highly Urban/ Urban,2.0
3,727598473,0,05MAR64,35.0,1,10.0,16.039,No,124.191,Yes,z_F,z_High School,Clerical,5,Private,4.01,4,z_SUV,no,38.69,2,No,3,0.0,10.0,0,Highly Urban/ Urban,0.0
4,450221861,0,05JUN48,51.0,0,14.0,0.0,No,306.251,Yes,M,<High School,z_Blue Collar,32,Private,15.44,7,Minivan,yes,0.0,0,No,0,0.0,6.0,0,Highly Urban/ Urban,2.0
5,743146596,0,17MAY49,50.0,0,0.0,114.986,No,243.925,Yes,z_F,PhD,Doctor,36,Private,18.0,1,z_SUV,no,19.217,2,Yes,3,0.0,17.0,0,Highly Urban/ Urban,2.0
6,871024631,0,05MAY65,34.0,1,12.0,125.301,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17.43,1,Sports Car,no,0.0,0,No,0,2.946,7.0,1,Highly Urban/ Urban,0.0
7,792300541,0,28FEB45,54.0,0,0.0,18.755,No,0.0,Yes,z_F,<High School,z_Blue Collar,33,Private,8.78,1,z_SUV,no,0.0,0,No,0,0.0,1.0,0,Highly Urban/ Urban,2.0
8,7945239,1,17SEP59,40.0,1,11.0,50.815,Yes,0.0,z_No,M,z_High School,Manager,21,Private,18.93,6,Minivan,no,3.295,1,No,2,6.477,1.0,1,Highly Urban/ Urban,1.0
9,3577610,0,21AUG55,44.0,2,12.0,43.486,Yes,0.0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,5.9,10,z_SUV,no,0.0,0,No,0,0.0,10.0,0,z_Highly Rural/ Rural,1.0
10,892208080,1,14DEC61,37.0,2,0.0,107.961,No,333.68,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16.97,1,Van,yes,2.374,1,Yes,10,4.021,7.0,1,Highly Urban/ Urban,1.0
11,77382913,0,22NOV64,34.0,0,10.0,62.978,No,0.0,z_No,z_F,Bachelors,Clerical,34,Private,11.2,1,z_SUV,no,0.0,0,No,0,2.501,1.0,1,Highly Urban/ Urban,0.0
12,856886560,0,22OCT49,50.0,0,7.0,106.952,No,0.0,z_No,M,Bachelors,Professional,48,Commercial,18.51,7,Van,no,0.0,0,No,1,0.0,17.0,0,z_Highly Rural/ Rural,2.0
13,308455362,0,25DEC45,53.0,0,14.0,77.1,No,0.0,z_No,z_F,Masters,Lawyer,15,Private,18.3,1,Sports Car,no,0.0,0,No,0,6.077,11.0,1,Highly Urban/ Urban,2.0
14,989828809,0,19JUN56,43.0,0,5.0,52.642,No,209.97,Yes,z_F,Masters,Professional,36,Private,22.42,7,Minivan,no,0.0,0,No,0,0.0,1.0,0,z_Highly Rural/ Rural,1.0
15,376482434,0,03MAR44,55.0,0,11.0,59.162,No,180.232,Yes,M,Bachelors,Manager,25,Commercial,17.6,7,Van,yes,5.028,2,Yes,3,0.0,9.0,0,Highly Urban/ Urban,2.0
16,665591504,0,19JUL46,53.0,0,11.0,130.795,No,0.0,z_No,M,PhD,0,64,Commercial,28.34,6,Panel Truck,yes,0.0,0,No,3,1.267,10.0,1,Highly Urban/ Urban,2.0
17,713692930,0,17AUG64,35.0,2,0.0,21.204,Yes,0.0,z_No,M,z_High School,Clerical,74,Private,9.23,6,Pickup,no,0.0,0,Yes,0,0.0,4.0,0,z_Highly Rural/ Rural,0.0
18,588888550,0,17JAN54,45.0,0,0.0,0.0,No,106.859,Yes,z_F,<High School,Home Maker,48,Private,6.0,1,z_SUV,no,0.0,0,No,3,2.92,5.0,1,Highly Urban/ Urban,1.0
19,140015922,0,06AUG60,39.0,3,12.0,51.884,Yes,180.951,z_No,z_F,Bachelors,Clerical,43,Private,10.59,6,z_SUV,no,0.0,0,No,0,0.0,13.0,0,z_Highly Rural/ Rural,1.0
20,162166370,0,19APR40,59.0,0,12.0,87.46,No,0.0,z_No,M,z_High School,Manager,45,Private,15.42,1,Minivan,yes,44.857,2,No,4,4.111,1.0,1,Highly Urban/ Urban,3.0
