;ID;KIDSDRIV;AGE;HOMEKIDS;YOJ;INCOME;PARENT1;HOME_VAL;MSTATUS;GENDER;EDUCATION;OCCUPATION;TRAVTIME;CAR_USE;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG;URBANICITY;OG_DATA
0;63581743;0;60;0;11;67349;FAŁSZ;0;FAŁSZ;M;PhD;Professional;14;Private;14230;11;Minivan;PRAWDA;4461;2;FAŁSZ;3;0;18;FAŁSZ;Highly Urban/ Urban;1
1;132761049;0;43;0;11;91449;FAŁSZ;257252;FAŁSZ;M;High School;Blue Collar;22;Commercial;14940;1;Minivan;PRAWDA;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;1
2;921317019;0;48;0;11;52881;FAŁSZ;0;FAŁSZ;M;Bachelors;Manager;26;Private;21970;1;Van;PRAWDA;0;0;FAŁSZ;2;0;10;FAŁSZ;Highly Urban/ Urban;1
3;727598473;0;35;1;10;16039;FAŁSZ;124191;PRAWDA;F;High School;Clerical;5;Private;4010;4;SUV;FAŁSZ;38690;2;FAŁSZ;3;0;10;FAŁSZ;Highly Urban/ Urban;1
4;450221861;0;51;0;14;146247,2;FAŁSZ;306251;PRAWDA;M;<High School;Blue Collar;32;Private;15440;7;Minivan;PRAWDA;0;0;FAŁSZ;0;0;6;FAŁSZ;Highly Urban/ Urban;0
5;743146596;0;50;0;13,2;114986;FAŁSZ;243925;PRAWDA;F;PhD;Doctor;36;Private;18000;1;SUV;FAŁSZ;19217;2;PRAWDA;3;0;17;FAŁSZ;Highly Urban/ Urban;0
6;871024631;0;34;1;12;125301;PRAWDA;0;FAŁSZ;F;Bachelors;Blue Collar;46;Commercial;17430;1;Sports Car;FAŁSZ;0;0;FAŁSZ;0;2946;7;PRAWDA;Highly Urban/ Urban;1
7;792300541;0;54;0;13,8;18755;FAŁSZ;74648,2;PRAWDA;F;<High School;Blue Collar;33;Private;8780;1;SUV;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Urban/ Urban;0
8;7945239;1;40;1;11;50815;PRAWDA;0;FAŁSZ;M;High School;Manager;21;Private;18930;6;Minivan;FAŁSZ;3295;1;FAŁSZ;2;6477;1;PRAWDA;Highly Urban/ Urban;1
9;3577610;0;44;2;12;43486;PRAWDA;0;FAŁSZ;F;High School;Blue Collar;30;Commercial;5900;10;SUV;FAŁSZ;0;0;FAŁSZ;0;0;10;FAŁSZ;Highly Rural/ Rural;1
10;892208080;1;37;2;7,8;107961;FAŁSZ;333680;PRAWDA;M;Bachelors;Blue Collar;44;Commercial;16970;1;Van;PRAWDA;2374;1;PRAWDA;10;4021;7;PRAWDA;Highly Urban/ Urban;0
11;77382913;0;34;0;10;62978;FAŁSZ;0;FAŁSZ;F;Bachelors;Clerical;34;Private;11200;1;SUV;FAŁSZ;0;0;FAŁSZ;0;2501;1;PRAWDA;Highly Urban/ Urban;1
12;856886560;0;50;0;7;106952;FAŁSZ;0;FAŁSZ;M;Bachelors;Professional;48;Commercial;18510;7;Van;FAŁSZ;0;0;FAŁSZ;1;0;17;FAŁSZ;Highly Rural/ Rural;1
13;308455362;0;53;0;14;77100;FAŁSZ;0;FAŁSZ;F;Masters;Lawyer;15;Private;18300;1;Sports Car;FAŁSZ;0;0;FAŁSZ;0;6077;11;PRAWDA;Highly Urban/ Urban;1
14;989828809;0;43;0;5;52642;FAŁSZ;209970;PRAWDA;F;Masters;Professional;36;Private;22420;7;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;1;FAŁSZ;Highly Rural/ Rural;1
15;376482434;0;55;0;11;59162;FAŁSZ;180232;PRAWDA;M;Bachelors;Manager;25;Commercial;17600;7;Van;PRAWDA;5028;2;PRAWDA;3;0;9;FAŁSZ;Highly Urban/ Urban;1
16;665591504;0;53;0;11;130795;FAŁSZ;0;FAŁSZ;M;PhD;Doctor;64;Commercial;28340;6;Panel Truck;PRAWDA;0;0;FAŁSZ;3;1267;10;PRAWDA;Highly Urban/ Urban;0
17;713692930;0;35;2;11;21204;PRAWDA;0;FAŁSZ;M;High School;Clerical;74;Private;9230;6;Pickup;FAŁSZ;0;0;PRAWDA;0;0;4;FAŁSZ;Highly Rural/ Rural;0
18;588888550;0;45;0;0;0;FAŁSZ;106859;PRAWDA;F;<High School;Home Maker;48;Private;6000;1;SUV;FAŁSZ;0;0;FAŁSZ;3;2920;5;PRAWDA;Highly Urban/ Urban;1
19;140015922;0;39;3;12;51884;PRAWDA;180951;FAŁSZ;F;Bachelors;Clerical;43;Private;10590;6;SUV;FAŁSZ;0;0;FAŁSZ;0;0;13;FAŁSZ;Highly Rural/ Rural;1
20;162166370;0;59;0;12;87460;FAŁSZ;0;FAŁSZ;M;High School;Manager;45;Private;15420;1;Minivan;PRAWDA;44857;2;FAŁSZ;4;4111;1;PRAWDA;Highly Urban/ Urban;1
21;884513944;0;42;0;11;59945;FAŁSZ;192207;PRAWDA;M;Masters;Lawyer;42;Private;14190;6;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;16;FAŁSZ;Highly Urban/ Urban;1
22;627708979;0;34;3;13;34019;FAŁSZ;91875;PRAWDA;F;Masters;Lawyer;27;Private;8300;7;SUV;FAŁSZ;0;0;FAŁSZ;0;0;20;FAŁSZ;Highly Urban/ Urban;1
23;116375554;0;31;2;12;18903;FAŁSZ;93797;PRAWDA;F;<High School;Clerical;48;Private;17330;4;Minivan;FAŁSZ;0;0;FAŁSZ;0;0;7;FAŁSZ;Highly Urban/ Urban;1
24;235358484;0;28;1;13;44077;FAŁSZ;170598;PRAWDA;F;High School;Blue Collar;29;Commercial;8710;6;SUV;FAŁSZ;8935;2;FAŁSZ;0;6857;1;PRAWDA;Highly Urban/ Urban;1
25;528040687;0;43;0;13;37214;FAŁSZ;0;PRAWDA;M;<High School;Blue Collar;52;Commercial;26560;1;Panel Truck;PRAWDA;0;0;FAŁSZ;3;3627;1;PRAWDA;Highly Urban/ Urban;0
26;652572577;0;48;0;14;96274;FAŁSZ;282904;PRAWDA;F;Masters;Lawyer;36;Private;11130;6;SUV;FAŁSZ;8250;1;FAŁSZ;5;0;14;FAŁSZ;Highly Urban/ Urban;1
27;410873772;0;47;0;11;46281;FAŁSZ;0;FAŁSZ;F;<High School;Blue Collar;29;Private;19700;10;Minivan;FAŁSZ;0;0;FAŁSZ;1;0;5;FAŁSZ;Highly Urban/ Urban;1
28;254362485;2;44;2;0;0;FAŁSZ;82344;PRAWDA;F;High School;Home Maker;8;Private;5900;6;SUV;FAŁSZ;3338;3;FAŁSZ;0;0;11;FAŁSZ;Highly Urban/ Urban;1
29;69165559;0;46;0;14;74728,2;FAŁSZ;207519;PRAWDA;M;Bachelors;Professional;7;Commercial;25660;1;Panel Truck;FAŁSZ;2119;1;FAŁSZ;2;0;12;FAŁSZ;Highly Urban/ Urban;0
30;201327208;0;60;0;12;37940;FAŁSZ;182739;PRAWDA;F;High School;Blue Collar;16;Commercial;11290;1;Sports Car;FAŁSZ;0;0;FAŁSZ;0;5247;1;PRAWDA;Highly Urban/ Urban;1
31;573751437;0;33;1;13;79606;FAŁSZ;225962;PRAWDA;F;Bachelors;Professional;27;Private;16830;9;SUV;FAŁSZ;0;0;FAŁSZ;2;0;15;FAŁSZ;Highly Rural/ Rural;1
